Authors of the study,Year,Article ID,Median diameter  [mm],Geometric standard deviation,"Specific density
",Upstream width b1 [m],Contracted width b2 [m],Ratio b2/b1,Upstream average flow velocity u1 [m/s],Critical shear velocity for sediment entrainment uc* [m/s],Critical velocity for sediment uc [m/s],u1/uc,u1/uc Dey and Raikar (2005),Upstream flow depth y1 [m],Flow depth at contracted reach y2 [m],Equilibrium scour depth ds [m],Type of scour,Length of the contraction [m],Shape of contraction,Length downstream of the contraction [m],Source,Comments
Straub,1934,[1],0.69,1.41,2.65,0.30,0.21,0.70,0.333,0.023,0.290,1.147,None,0.0200,0.0260,Unknown,live-bed,0.61,"Trapezoidal, symmetrical",1.83,Values from Lim (1993) and Lim and Cheng (1998) because unreadable on the copy I have,
Straub,1934,[1],0.69,1.41,2.65,0.30,0.21,0.70,0.316,0.023,0.274,1.153,None,0.0150,0.0200,Unknown,live-bed,0.61,"Trapezoidal, symmetrical",1.83,Values from Lim (1993) and Lim and Cheng (1998) because unreadable on the copy I have,
Straub,1934,[1],4.00,1.44,2.65,0.30,0.21,0.70,0.719,0.055,0.599,1.200,None,0.0560,0.0830,Unknown,live-bed,0.61,"Trapezoidal, symmetrical",1.83,Values from Lim (1993) and Lim and Cheng (1998) because unreadable on the copy I have,
Ashida,1963,[2],0.90,1.29,2.65,1.00,0.20,0.20,0.379,0.026,0.331,1.143,None,0.0260,0.0860,Unknown,live-bed,1.75,"Trapezoidal, symmetrical",1.25,Values from Lim (1993) Lim and Cheng (1998) but checked in the original article,Also expansion scour in this article
Ashida,1963,[2],0.90,1.29,2.65,1.00,0.20,0.20,0.416,0.026,0.353,1.179,None,0.0360,0.1080,Unknown,live-bed,1.75,"Trapezoidal, symmetrical",1.25,Values from Lim (1993) Lim and Cheng (1998) but checked in the original article,Also expansion scour in this article
Ashida,1963,[2],0.90,1.29,2.65,1.00,0.20,0.20,0.419,0.026,0.372,1.128,None,0.0480,0.1520,Unknown,live-bed,1.75,"Trapezoidal, symmetrical",1.25,Values from Lim (1993) Lim and Cheng (1998) but checked in the original article,Also expansion scour in this article
Ashida,1963,[2],0.90,1.29,2.65,1.00,0.20,0.20,0.394,0.026,0.390,1.009,None,0.0640,0.2020,Unknown,live-bed,1.75,"Trapezoidal, symmetrical",1.25,Values from Lim (1993) Lim and Cheng (1998) but checked in the original article,Also expansion scour in this article
Ashida,1963,[2],0.90,1.29,2.65,1.00,0.50,0.50,0.437,0.026,0.323,1.351,None,0.0230,0.0440,Unknown,live-bed,1.42,"Trapezoidal, symmetrical",1.00,Values from Lim (1993) Lim and Cheng (1998) but checked in the original article,Also expansion scour in this article
Ashida,1963,[2],0.90,1.29,2.65,1.00,0.50,0.50,0.407,0.026,0.355,1.148,None,0.0370,0.0610,Unknown,live-bed,1.42,"Trapezoidal, symmetrical",1.00,Values from Lim (1993) Lim and Cheng (1998) but checked in the original article,Also expansion scour in this article
Ashida,1963,[2],0.90,1.29,2.65,1.00,0.50,0.50,0.453,0.026,0.366,1.238,None,0.0440,0.0680,Unknown,live-bed,1.42,"Trapezoidal, symmetrical",1.00,Values from Lim (1993) Lim and Cheng (1998) but checked in the original article,Also expansion scour in this article
